fiscal_year,age_group,category,gender,value
2018-19,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0
2018-19,More than 35 years,Number of New EPF Subscribers during the year,Transgender,52
2018-19,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,48
2018-19,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,143
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682
2018-19,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,4
2018-19,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,447207
2018-19,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,936132
2018-19,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,675638
2018-19,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,914107
2018-19,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,447207
2018-19,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,3976
2018-19,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,109
2018-19,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,78
2018-19,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,153
2018-19,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,87
2018-19,Total,Number of exited members who rejoined and resubscribed,Transgender,253
2018-19,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,36
2018-19,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,71
2018-19,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2018-19,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,914107
2018-19,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,38
2018-19,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,3976
2018-19,Total,Number of members that ceased subscribing during the year,Not Available,81067
2018-19,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,247
2018-19,Less than 18 years,Number of members that ceased subscribing during the year,Male,19426
2018-19,18 to 21 years,Number of members that ceased subscribing during the year,Male,1361213
2018-19,Total,Number of members that ceased subscribing during the year,Male,9846459
2018-19,More than 35 years,Number of New EPF Subscribers during the year,Total,2532381
2018-19,Total,Number of New EPF Subscribers during the year,Total,13944349
2018-19,22 to 25 years,Number of members that ceased subscribing during the year,Male,2377895
2018-19,26 to 28 years,Number of members that ceased subscribing during the year,Male,1587940
2018-19,29 to 35 years,Number of members that ceased subscribing during the year,Male,2246297
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,86
2018-19,More than 35 years,Number of members that ceased subscribing during the year,Male,2253688
2018-19,Total,Number of members that ceased subscribing during the year,Male,9846459
2018-19,Total,Number of members that ceased subscribing during the year,Transgender,639
2018-19,More than 35 years,Number of members that ceased subscribing during the year,Transgender,143
2018-19,More than 35 years,Number of members that ceased subscribing during the year,Not Available,35264
2018-19,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,11919
2018-19,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,247
2018-19,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,143
2018-19,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,36
2018-19,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,71
2018-19,Total,Number of New EPF Subscribers during the year,Total,13944349
2018-19,More than 35 years,Number of New EPF Subscribers during the year,Total,2532381
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Total,119123
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Total,3466829
2018-19,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,87
2018-19,22 to 25 years,Number of New EPF Subscribers during the year,Total,3639953
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,3
2018-19,26 to 28 years,Number of New EPF Subscribers during the year,Total,1740666
2018-19,29 to 35 years,Number of New EPF Subscribers during the year,Total,2445397
2018-19,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,11919
2018-19,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,2724
2018-19,Total,Number of New EPF Subscribers during the year,Not Available,2
2018-19,29 to 35 years,Number of New EPF Subscribers during the year,Total,2445397
2018-19,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,0
2018-19,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099
2018-19,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0
2018-19,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,10974
2018-19,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682
2018-19,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479
2018-19,29 to 35 years,Number of New EPF Subscribers during the year,Male,1873151
2018-19,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099
2018-19,29 to 35 years,Number of New EPF Subscribers during the year,Male,1873151
2018-19,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800
2018-19,Total,Number of New EPF Subscribers during the year,Male,11020080
2018-19,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,78
2018-19,26 to 28 years,Number of members that ceased subscribing during the year,Male,1587940
2018-19,More than 35 years,Number of New EPF Subscribers during the year,Not Available,2
2018-19,29 to 35 years,Number of members that ceased subscribing during the year,Male,2246297
2018-19,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,4
2018-19,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,109
2018-19,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,153
2018-19,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800
2018-19,Total,Number of New EPF Subscribers during the year,Male,11020080
2018-19,More than 35 years,Number of members that ceased subscribing during the year,Male,2253688
2018-19,Total,Number of members that ceased subscribing during the year,Not Available,81067
2018-19,More than 35 years,Number of members that ceased subscribing during the year,Not Available,35264
2018-19,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,2724
2018-19,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,0
2018-19,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,0
2018-19,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,0
2018-19,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,10974
2018-19,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,19939
2018-19,Total,Number of members that ceased subscribing during the year,Male,9846459
2018-19,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,629
2018-19,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,814578
2018-19,Total,Number of exited members who rejoined and resubscribed,Transgender,253
2018-19,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,86
2018-19,Total,Number of New EPF Subscribers during the year,Male,11020080
2018-19,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800
2018-19,29 to 35 years,Number of New EPF Subscribers during the year,Male,1873151
2018-19,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099
2018-19,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479
2018-19,Total,Number of exited members who rejoined and resubscribed,Total,4464815
2018-19,More than 35 years,Number of exited members who rejoined and resubscribed,Total,877941
2018-19,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,1112743
2018-19,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,1124427
2018-19,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,71
2018-19,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,529089
2018-19,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,6037
