fiscal_year,state,age_group,category,gender,value,unit,note
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Male,2246297,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,1587940,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,2377895,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1361213,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,19426,value in Absolute Number,
2018-19,All India,Total,Number of members that ceased subscribing during the year,Transgender,639,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,143,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,87,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,153,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,109,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Total,119123,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Not Available,35264,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Total,3466829,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Total,3639953,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Total,1740666,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Total,2445397,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Male,11020080,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1873151,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,247,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,2724,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,11919,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,10974,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,19939,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,78,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,71,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Male,11020080,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Transgender,253,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,36,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,71,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,30,value in Absolute Number,
2018-19,All India,Total,Number of New EPF Subscribers during the year,Not Available,2,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,675638,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,78,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,38,value in Absolute Number,
2018-19,All India,More than 35 years,Number of New EPF Subscribers during the year,Male,1961800,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1873151,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2823682,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,87869,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Total,30082,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Total,1652918,value in Absolute Number,
2018-19,All India,Total,Number of exited members who rejoined and resubscribed,Male,3710136,value in Absolute Number,
2018-19,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Male,733076,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,936132,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,247,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,2724,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,11919,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,10974,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,19939,value in Absolute Number,
2018-19,All India,More than 35 years,Number of members that ceased subscribing during the year,Not Available,35264,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,
2018-19,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,19426,value in Absolute Number,
2018-19,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1361213,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Not Available,1308,value in Absolute Number,
2018-19,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1873151,value in Absolute Number,
2018-19,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,1397099,value in Absolute Number,
2018-19,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2876479,value in Absolute Number,
